index,category,description
8136,spam email,"Exclusive deal just for you, click now"
8137,spam email,Urgent: update your bank details immediately
8138,spam email,"Congratulations, you won a lottery"
8139,ham email,Let's catch up this weekend
8140,ham email,Please find attached the project report
8141,spam email,Urgent: update your bank details immediately
8142,ham email,Meeting scheduled for tomorrow at 10 AM
8143,ham email,Lunch plan for today?
8144,ham email,Can we reschedule our call?
8145,ham email,"Happy birthday, have a great day"
8146,spam email,"Congratulations, you won a lottery"
8147,ham email,Weekly report submission
8148,ham email,Please find attached the project report
8149,spam email,Claim your free gift card today
8150,spam email,You have been selected for a prize reward
8151,ham email,Can we reschedule our call?
8152,spam email,Urgent: update your bank details immediately
8153,ham email,Can we reschedule our call?
8154,ham email,Meeting scheduled for tomorrow at 10 AM
8155,ham email,Reminder to submit your timesheet
8156,spam email,"Limited offer, earn money fast from home"
8157,spam email,Urgent: update your bank details immediately
8158,ham email,Reminder to submit your timesheet
8159,ham email,Let's catch up this weekend
8160,spam email,"Limited offer, earn money fast from home"
8161,ham email,Invitation to team meeting
8162,ham email,Project update: tasks completed
8163,spam email,You have been selected for a prize reward
8164,spam email,Urgent: update your bank details immediately
8165,spam email,"Exclusive deal just for you, click now"
8166,spam email,"Limited offer, earn money fast from home"
8167,spam email,"Limited offer, earn money fast from home"
8168,ham email,Project update: tasks completed
8169,ham email,Weekly report submission
8170,spam email,"Your account has been compromised, verify now"
8171,spam email,Claim your free gift card today
8172,ham email,Invitation to team meeting
8173,spam email,"Exclusive deal just for you, click now"
8174,spam email,"Limited offer, earn money fast from home"
8175,spam email,Act now to secure your reward
8176,spam email,"Congratulations, you won a lottery"
8177,spam email,"Your account has been compromised, verify now"
8178,ham email,Please find attached the project report
8179,spam email,"Congratulations, you won a lottery"
8180,spam email,"Congratulations, you won a lottery"
8181,spam email,"Win a free iPhone now, click here"
8182,ham email,Lunch plan for today?
8183,spam email,"Win a free iPhone now, click here"
8184,ham email,Let's catch up this weekend
8185,spam email,Urgent: update your bank details immediately
8186,ham email,Project update: tasks completed
8187,spam email,"Win a free iPhone now, click here"
8188,ham email,Let's catch up this weekend
8189,spam email,Act now to secure your reward
8190,ham email,Please find attached the project report
8191,ham email,Reminder to submit your timesheet
8192,spam email,"Your account has been compromised, verify now"
8193,spam email,Claim your free gift card today
8194,spam email,"Your account has been compromised, verify now"
8195,ham email,Meeting scheduled for tomorrow at 10 AM
8196,spam email,You have been selected for a prize reward
8197,ham email,Meeting scheduled for tomorrow at 10 AM
8198,spam email,Urgent: update your bank details immediately
8199,ham email,Invitation to team meeting
8200,spam email,"Win a free iPhone now, click here"
8201,ham email,Project update: tasks completed
8202,spam email,Urgent: update your bank details immediately
8203,spam email,Act now to secure your reward
8204,spam email,You have been selected for a prize reward
8205,ham email,Let's catch up this weekend
8206,ham email,Project update: tasks completed
8207,ham email,Can we reschedule our call?
8208,spam email,"Win a free iPhone now, click here"
8209,ham email,Reminder to submit your timesheet
8210,spam email,"Congratulations, you won a lottery"
8211,spam email,"Your account has been compromised, verify now"
8212,ham email,Let's catch up this weekend
8213,spam email,"Exclusive deal just for you, click now"
8214,ham email,Please find attached the project report
8215,ham email,Lunch plan for today?
8216,ham email,Lunch plan for today?
8217,spam email,You have been selected for a prize reward
8218,ham email,Reminder to submit your timesheet
8219,spam email,"Congratulations, you won a lottery"
8220,ham email,Lunch plan for today?
8221,spam email,Urgent: update your bank details immediately
8222,spam email,Urgent: update your bank details immediately
8223,ham email,Reminder to submit your timesheet
8224,spam email,"Your account has been compromised, verify now"
8225,spam email,Urgent: update your bank details immediately
8226,ham email,Can we reschedule our call?
8227,ham email,Can we reschedule our call?
8228,ham email,Can we reschedule our call?
8229,spam email,"Exclusive deal just for you, click now"
8230,spam email,"Your account has been compromised, verify now"
8231,ham email,Let's catch up this weekend
8232,spam email,Get rich quick with this simple trick
8233,ham email,"Happy birthday, have a great day"
8234,spam email,Urgent: update your bank details immediately
8235,spam email,"Congratulations, you won a lottery"
8236,spam email,You have been selected for a prize reward
8237,spam email,You have been selected for a prize reward
8238,spam email,"Exclusive deal just for you, click now"
8239,spam email,"Congratulations, you won a lottery"
8240,ham email,Can we reschedule our call?
8241,ham email,Invitation to team meeting
8242,spam email,You have been selected for a prize reward
8243,spam email,"Exclusive deal just for you, click now"
8244,ham email,Meeting scheduled for tomorrow at 10 AM
8245,spam email,"Win a free iPhone now, click here"
8246,ham email,Meeting scheduled for tomorrow at 10 AM
8247,spam email,"Congratulations, you won a lottery"
8248,spam email,"Win a free iPhone now, click here"
8249,ham email,Can we reschedule our call?
8250,spam email,Act now to secure your reward
8251,ham email,Lunch plan for today?
8252,spam email,"Exclusive deal just for you, click now"
8253,spam email,Urgent: update your bank details immediately
8254,ham email,Let's catch up this weekend
8255,ham email,Meeting scheduled for tomorrow at 10 AM
8256,ham email,Can we reschedule our call?
8257,ham email,Lunch plan for today?
8258,ham email,"Happy birthday, have a great day"
8259,spam email,"Your account has been compromised, verify now"
8260,ham email,Project update: tasks completed
8261,ham email,Please find attached the project report
8262,ham email,Lunch plan for today?
8263,ham email,Weekly report submission
8264,ham email,Please find attached the project report
8265,ham email,Weekly report submission
8266,ham email,Invitation to team meeting
8267,spam email,"Limited offer, earn money fast from home"
8268,ham email,"Happy birthday, have a great day"
8269,spam email,Get rich quick with this simple trick
8270,ham email,Please find attached the project report
8271,ham email,Reminder to submit your timesheet
8272,spam email,"Win a free iPhone now, click here"
8273,spam email,Act now to secure your reward
8274,ham email,Can we reschedule our call?
8275,ham email,Can we reschedule our call?
8276,ham email,Weekly report submission
8277,spam email,"Congratulations, you won a lottery"
8278,ham email,Weekly report submission
8279,spam email,You have been selected for a prize reward
8280,ham email,Weekly report submission
8281,ham email,"Happy birthday, have a great day"
8282,ham email,Invitation to team meeting
8283,spam email,Get rich quick with this simple trick
8284,ham email,Invitation to team meeting
8285,spam email,"Limited offer, earn money fast from home"
8286,spam email,"Exclusive deal just for you, click now"
8287,ham email,Let's catch up this weekend
8288,ham email,Reminder to submit your timesheet
8289,ham email,Please find attached the project report
8290,ham email,Can we reschedule our call?
8291,spam email,"Win a free iPhone now, click here"
8292,ham email,Weekly report submission
8293,spam email,Urgent: update your bank details immediately
8294,spam email,You have been selected for a prize reward
8295,ham email,Reminder to submit your timesheet
8296,spam email,Act now to secure your reward
8297,ham email,Let's catch up this weekend
8298,spam email,"Limited offer, earn money fast from home"
8299,spam email,"Your account has been compromised, verify now"
8300,ham email,Lunch plan for today?
8301,ham email,Lunch plan for today?
8302,ham email,Lunch plan for today?
8303,ham email,Can we reschedule our call?
8304,spam email,You have been selected for a prize reward
8305,ham email,Invitation to team meeting
8306,spam email,"Your account has been compromised, verify now"
8307,spam email,Claim your free gift card today
8308,ham email,Let's catch up this weekend
8309,ham email,Can we reschedule our call?
8310,ham email,Reminder to submit your timesheet
8311,spam email,"Exclusive deal just for you, click now"
8312,spam email,Claim your free gift card today
8313,ham email,Lunch plan for today?
8314,ham email,Please find attached the project report
8315,ham email,Invitation to team meeting
8316,spam email,You have been selected for a prize reward
8317,spam email,Claim your free gift card today
8318,ham email,Reminder to submit your timesheet
8319,ham email,Invitation to team meeting
8320,spam email,You have been selected for a prize reward
8321,spam email,"Limited offer, earn money fast from home"
8322,spam email,Act now to secure your reward
8323,ham email,Invitation to team meeting
8324,ham email,Weekly report submission
8325,spam email,Claim your free gift card today
8326,spam email,"Win a free iPhone now, click here"
8327,ham email,Please find attached the project report
8328,ham email,Can we reschedule our call?
8329,spam email,"Congratulations, you won a lottery"
8330,spam email,"Exclusive deal just for you, click now"
8331,ham email,Project update: tasks completed
8332,spam email,Claim your free gift card today
8333,ham email,Weekly report submission
8334,ham email,Project update: tasks completed
8335,ham email,Can we reschedule our call?
8336,spam email,"Win a free iPhone now, click here"
8337,ham email,Reminder to submit your timesheet
8338,spam email,You have been selected for a prize reward
8339,spam email,"Your account has been compromised, verify now"
8340,ham email,"Happy birthday, have a great day"
8341,spam email,You have been selected for a prize reward
8342,ham email,Meeting scheduled for tomorrow at 10 AM
8343,spam email,Claim your free gift card today
8344,spam email,"Win a free iPhone now, click here"
8345,spam email,Get rich quick with this simple trick
8346,spam email,Urgent: update your bank details immediately
8347,ham email,Lunch plan for today?
8348,ham email,Project update: tasks completed
8349,spam email,"Win a free iPhone now, click here"
8350,spam email,"Congratulations, you won a lottery"
8351,spam email,"Congratulations, you won a lottery"
8352,ham email,Can we reschedule our call?
8353,ham email,Please find attached the project report
8354,ham email,Let's catch up this weekend
8355,ham email,Let's catch up this weekend
8356,ham email,Lunch plan for today?
8357,ham email,Invitation to team meeting
8358,spam email,"Win a free iPhone now, click here"
8359,ham email,Lunch plan for today?
8360,spam email,You have been selected for a prize reward
8361,ham email,"Happy birthday, have a great day"
8362,ham email,Can we reschedule our call?
8363,spam email,"Your account has been compromised, verify now"
8364,spam email,Claim your free gift card today
8365,ham email,Can we reschedule our call?
8366,spam email,You have been selected for a prize reward
8367,spam email,"Your account has been compromised, verify now"
8368,ham email,"Happy birthday, have a great day"
8369,spam email,"Limited offer, earn money fast from home"
8370,ham email,Let's catch up this weekend
8371,spam email,"Win a free iPhone now, click here"
8372,ham email,Reminder to submit your timesheet
8373,spam email,"Your account has been compromised, verify now"
8374,spam email,Claim your free gift card today
8375,ham email,Let's catch up this weekend
8376,ham email,Meeting scheduled for tomorrow at 10 AM
8377,spam email,Urgent: update your bank details immediately
8378,ham email,Project update: tasks completed
8379,spam email,Urgent: update your bank details immediately
8380,spam email,"Win a free iPhone now, click here"
8381,ham email,Meeting scheduled for tomorrow at 10 AM
8382,ham email,Weekly report submission
8383,spam email,Urgent: update your bank details immediately
8384,ham email,Reminder to submit your timesheet
8385,ham email,Weekly report submission
8386,ham email,Lunch plan for today?
8387,ham email,Can we reschedule our call?
8388,ham email,"Happy birthday, have a great day"
8389,ham email,"Happy birthday, have a great day"
8390,ham email,Reminder to submit your timesheet
8391,spam email,"Your account has been compromised, verify now"
8392,ham email,Weekly report submission
8393,spam email,"Your account has been compromised, verify now"
8394,spam email,"Exclusive deal just for you, click now"
8395,spam email,"Win a free iPhone now, click here"
8396,spam email,"Win a free iPhone now, click here"
8397,ham email,Meeting scheduled for tomorrow at 10 AM
8398,spam email,"Congratulations, you won a lottery"
8399,spam email,Act now to secure your reward
8400,spam email,Act now to secure your reward
8401,spam email,Get rich quick with this simple trick
8402,ham email,Meeting scheduled for tomorrow at 10 AM
8403,ham email,Let's catch up this weekend
8404,ham email,"Happy birthday, have a great day"
8405,spam email,"Limited offer, earn money fast from home"
8406,spam email,Act now to secure your reward
8407,ham email,Lunch plan for today?
8408,ham email,Reminder to submit your timesheet
8409,spam email,Act now to secure your reward
8410,spam email,Urgent: update your bank details immediately
8411,ham email,Reminder to submit your timesheet
8412,ham email,Lunch plan for today?
8413,spam email,You have been selected for a prize reward
8414,spam email,Claim your free gift card today
8415,ham email,Invitation to team meeting
8416,spam email,Claim your free gift card today
8417,ham email,Lunch plan for today?
8418,ham email,Lunch plan for today?
8419,ham email,Invitation to team meeting
8420,ham email,Please find attached the project report
8421,ham email,Reminder to submit your timesheet
8422,ham email,Project update: tasks completed
8423,spam email,Get rich quick with this simple trick
8424,spam email,Claim your free gift card today
8425,ham email,Let's catch up this weekend
8426,spam email,Urgent: update your bank details immediately
8427,spam email,"Your account has been compromised, verify now"
8428,spam email,"Exclusive deal just for you, click now"
8429,ham email,"Happy birthday, have a great day"
8430,ham email,Weekly report submission
8431,ham email,Let's catch up this weekend
8432,ham email,Let's catch up this weekend
8433,ham email,Let's catch up this weekend
8434,spam email,"Congratulations, you won a lottery"
8435,spam email,Claim your free gift card today
8436,ham email,Project update: tasks completed
8437,ham email,Can we reschedule our call?
8438,ham email,Invitation to team meeting
8439,spam email,"Exclusive deal just for you, click now"
8440,spam email,Get rich quick with this simple trick
8441,spam email,"Congratulations, you won a lottery"
8442,ham email,Let's catch up this weekend
8443,spam email,Claim your free gift card today
8444,ham email,"Happy birthday, have a great day"
8445,spam email,"Congratulations, you won a lottery"
8446,ham email,Please find attached the project report
8447,spam email,Act now to secure your reward
8448,ham email,Invitation to team meeting
8449,ham email,Reminder to submit your timesheet
8450,spam email,Claim your free gift card today
8451,ham email,Lunch plan for today?
8452,spam email,"Exclusive deal just for you, click now"
8453,spam email,You have been selected for a prize reward
8454,spam email,"Your account has been compromised, verify now"
8455,spam email,Claim your free gift card today
8456,ham email,Weekly report submission
8457,ham email,Meeting scheduled for tomorrow at 10 AM
8458,ham email,Please find attached the project report
8459,spam email,Get rich quick with this simple trick
8460,ham email,Invitation to team meeting
8461,ham email,Lunch plan for today?
8462,ham email,"Happy birthday, have a great day"
8463,spam email,"Win a free iPhone now, click here"
8464,ham email,Project update: tasks completed
8465,ham email,Reminder to submit your timesheet
8466,spam email,Act now to secure your reward
8467,ham email,Can we reschedule our call?
8468,ham email,Project update: tasks completed
8469,spam email,"Exclusive deal just for you, click now"
8470,ham email,"Happy birthday, have a great day"
8471,ham email,Lunch plan for today?
8472,ham email,Reminder to submit your timesheet
8473,spam email,Act now to secure your reward
8474,spam email,Urgent: update your bank details immediately
8475,spam email,"Congratulations, you won a lottery"
8476,spam email,"Win a free iPhone now, click here"
8477,spam email,Act now to secure your reward
8478,ham email,Meeting scheduled for tomorrow at 10 AM
8479,ham email,"Happy birthday, have a great day"
8480,ham email,Can we reschedule our call?
8481,spam email,"Congratulations, you won a lottery"
8482,ham email,Reminder to submit your timesheet
8483,ham email,Invitation to team meeting
8484,ham email,Let's catch up this weekend
8485,ham email,Meeting scheduled for tomorrow at 10 AM
8486,spam email,Act now to secure your reward
8487,ham email,Weekly report submission
8488,ham email,Meeting scheduled for tomorrow at 10 AM
8489,ham email,Reminder to submit your timesheet
8490,ham email,"Happy birthday, have a great day"
8491,ham email,Can we reschedule our call?
8492,ham email,Let's catch up this weekend
8493,ham email,Lunch plan for today?
8494,ham email,Can we reschedule our call?
8495,ham email,Project update: tasks completed
8496,ham email,Lunch plan for today?
8497,ham email,Invitation to team meeting
8498,spam email,"Limited offer, earn money fast from home"
8499,spam email,"Limited offer, earn money fast from home"
8500,spam email,Urgent: update your bank details immediately
8501,spam email,Urgent: update your bank details immediately
8502,ham email,Reminder to submit your timesheet
8503,spam email,Act now to secure your reward
8504,ham email,Reminder to submit your timesheet
8505,ham email,Project update: tasks completed
8506,spam email,"Win a free iPhone now, click here"
8507,spam email,"Your account has been compromised, verify now"
8508,ham email,Project update: tasks completed
8509,spam email,"Congratulations, you won a lottery"
8510,ham email,Project update: tasks completed
8511,ham email,Invitation to team meeting
8512,spam email,"Congratulations, you won a lottery"
8513,ham email,Meeting scheduled for tomorrow at 10 AM
8514,spam email,You have been selected for a prize reward
8515,ham email,Can we reschedule our call?
8516,spam email,"Congratulations, you won a lottery"
8517,spam email,You have been selected for a prize reward
8518,spam email,"Your account has been compromised, verify now"
8519,ham email,Please find attached the project report
8520,ham email,Weekly report submission
8521,ham email,Please find attached the project report
8522,spam email,Get rich quick with this simple trick
8523,ham email,Reminder to submit your timesheet
8524,ham email,Weekly report submission
8525,ham email,Reminder to submit your timesheet
8526,ham email,Invitation to team meeting
8527,ham email,Let's catch up this weekend
8528,ham email,Please find attached the project report
8529,ham email,Lunch plan for today?
8530,ham email,Reminder to submit your timesheet
8531,ham email,Weekly report submission
8532,spam email,"Limited offer, earn money fast from home"
8533,spam email,You have been selected for a prize reward
8534,ham email,Reminder to submit your timesheet
8535,ham email,Reminder to submit your timesheet
8536,ham email,Reminder to submit your timesheet
8537,ham email,Lunch plan for today?
8538,ham email,Project update: tasks completed
8539,ham email,Meeting scheduled for tomorrow at 10 AM
8540,spam email,"Exclusive deal just for you, click now"
8541,ham email,Can we reschedule our call?
8542,spam email,Urgent: update your bank details immediately
8543,ham email,Lunch plan for today?
8544,ham email,Invitation to team meeting
8545,spam email,"Your account has been compromised, verify now"
8546,spam email,"Your account has been compromised, verify now"
8547,spam email,Get rich quick with this simple trick
8548,ham email,Let's catch up this weekend
8549,ham email,Let's catch up this weekend
8550,ham email,Let's catch up this weekend
8551,ham email,Please find attached the project report
8552,spam email,"Congratulations, you won a lottery"
8553,spam email,Claim your free gift card today
8554,spam email,Claim your free gift card today
8555,spam email,"Your account has been compromised, verify now"
8556,spam email,"Congratulations, you won a lottery"
8557,ham email,Weekly report submission
8558,spam email,"Your account has been compromised, verify now"
8559,spam email,You have been selected for a prize reward
8560,ham email,Weekly report submission
8561,spam email,"Congratulations, you won a lottery"
8562,ham email,Let's catch up this weekend
8563,ham email,Can we reschedule our call?
8564,spam email,Urgent: update your bank details immediately
8565,ham email,Invitation to team meeting
8566,spam email,You have been selected for a prize reward
8567,spam email,Claim your free gift card today
8568,spam email,Get rich quick with this simple trick
8569,ham email,Let's catch up this weekend
8570,ham email,Project update: tasks completed
8571,spam email,"Limited offer, earn money fast from home"
8572,ham email,Can we reschedule our call?
8573,spam email,"Win a free iPhone now, click here"
8574,spam email,Claim your free gift card today
8575,ham email,Please find attached the project report
8576,ham email,Weekly report submission
8577,ham email,Lunch plan for today?
8578,spam email,"Win a free iPhone now, click here"
8579,ham email,Reminder to submit your timesheet
8580,ham email,"Happy birthday, have a great day"
8581,ham email,Meeting scheduled for tomorrow at 10 AM
8582,ham email,"Happy birthday, have a great day"
8583,ham email,Weekly report submission
8584,ham email,"Happy birthday, have a great day"
8585,ham email,Lunch plan for today?
8586,ham email,Reminder to submit your timesheet
8587,ham email,Let's catch up this weekend
8588,ham email,"Happy birthday, have a great day"
8589,ham email,Invitation to team meeting
8590,ham email,Invitation to team meeting
8591,ham email,Can we reschedule our call?
8592,spam email,"Win a free iPhone now, click here"
8593,spam email,"Exclusive deal just for you, click now"
8594,spam email,You have been selected for a prize reward
8595,ham email,Reminder to submit your timesheet
8596,ham email,Can we reschedule our call?
8597,ham email,Meeting scheduled for tomorrow at 10 AM
8598,spam email,Urgent: update your bank details immediately
8599,ham email,Weekly report submission
8600,spam email,"Congratulations, you won a lottery"
8601,spam email,You have been selected for a prize reward
8602,spam email,Get rich quick with this simple trick
8603,spam email,Urgent: update your bank details immediately
8604,ham email,Reminder to submit your timesheet
8605,spam email,"Limited offer, earn money fast from home"
8606,spam email,"Win a free iPhone now, click here"
8607,ham email,Meeting scheduled for tomorrow at 10 AM
8608,spam email,Get rich quick with this simple trick
8609,spam email,You have been selected for a prize reward
8610,spam email,You have been selected for a prize reward
8611,spam email,"Win a free iPhone now, click here"
8612,ham email,Weekly report submission
8613,ham email,Reminder to submit your timesheet
8614,ham email,Invitation to team meeting
8615,ham email,Project update: tasks completed
8616,spam email,Claim your free gift card today
8617,spam email,"Win a free iPhone now, click here"
8618,ham email,"Happy birthday, have a great day"
8619,spam email,"Win a free iPhone now, click here"
8620,spam email,You have been selected for a prize reward
8621,spam email,You have been selected for a prize reward
8622,spam email,Get rich quick with this simple trick
8623,ham email,Weekly report submission
8624,spam email,Get rich quick with this simple trick
8625,spam email,"Limited offer, earn money fast from home"
8626,spam email,Get rich quick with this simple trick
8627,spam email,"Your account has been compromised, verify now"
8628,ham email,"Happy birthday, have a great day"
8629,ham email,Invitation to team meeting
8630,spam email,Claim your free gift card today
8631,spam email,You have been selected for a prize reward
8632,ham email,Invitation to team meeting
8633,spam email,Claim your free gift card today
8634,spam email,"Congratulations, you won a lottery"
8635,ham email,Meeting scheduled for tomorrow at 10 AM
8636,spam email,"Congratulations, you won a lottery"
8637,spam email,"Win a free iPhone now, click here"
8638,spam email,Urgent: update your bank details immediately
8639,spam email,Urgent: update your bank details immediately
8640,ham email,Lunch plan for today?
8641,spam email,Urgent: update your bank details immediately
8642,spam email,"Limited offer, earn money fast from home"
8643,ham email,Can we reschedule our call?
8644,ham email,Lunch plan for today?
8645,ham email,Reminder to submit your timesheet
8646,ham email,Can we reschedule our call?
8647,spam email,"Congratulations, you won a lottery"
8648,spam email,Claim your free gift card today
8649,spam email,"Your account has been compromised, verify now"
8650,ham email,Lunch plan for today?
8651,ham email,Let's catch up this weekend
8652,spam email,Act now to secure your reward
8653,spam email,"Win a free iPhone now, click here"
8654,spam email,"Exclusive deal just for you, click now"
8655,spam email,Act now to secure your reward
8656,ham email,Please find attached the project report
8657,spam email,Get rich quick with this simple trick
8658,ham email,Project update: tasks completed
8659,ham email,Weekly report submission
8660,spam email,"Win a free iPhone now, click here"
8661,spam email,"Congratulations, you won a lottery"
8662,spam email,"Exclusive deal just for you, click now"
8663,ham email,Project update: tasks completed
8664,ham email,Weekly report submission
8665,ham email,Reminder to submit your timesheet
8666,spam email,"Congratulations, you won a lottery"
8667,ham email,Project update: tasks completed
8668,spam email,Act now to secure your reward
8669,ham email,"Happy birthday, have a great day"
8670,spam email,Urgent: update your bank details immediately
8671,ham email,Let's catch up this weekend
8672,ham email,Weekly report submission
8673,ham email,Lunch plan for today?
8674,ham email,Please find attached the project report
8675,spam email,"Your account has been compromised, verify now"
8676,ham email,Meeting scheduled for tomorrow at 10 AM
8677,ham email,Please find attached the project report
8678,ham email,Reminder to submit your timesheet
8679,spam email,Urgent: update your bank details immediately
8680,ham email,Lunch plan for today?
8681,ham email,"Happy birthday, have a great day"
8682,spam email,Get rich quick with this simple trick
8683,ham email,"Happy birthday, have a great day"
8684,ham email,Meeting scheduled for tomorrow at 10 AM
8685,ham email,Reminder to submit your timesheet
8686,spam email,Claim your free gift card today
8687,ham email,"Happy birthday, have a great day"
8688,spam email,"Win a free iPhone now, click here"
8689,spam email,Claim your free gift card today
8690,ham email,Lunch plan for today?
8691,spam email,"Congratulations, you won a lottery"
8692,ham email,Can we reschedule our call?
8693,spam email,"Congratulations, you won a lottery"
8694,spam email,"Your account has been compromised, verify now"
8695,spam email,Get rich quick with this simple trick
8696,ham email,Weekly report submission
8697,ham email,Lunch plan for today?
8698,spam email,"Limited offer, earn money fast from home"
8699,ham email,Let's catch up this weekend
8700,ham email,Let's catch up this weekend
8701,ham email,Can we reschedule our call?
8702,spam email,"Exclusive deal just for you, click now"
8703,spam email,"Limited offer, earn money fast from home"
8704,spam email,"Limited offer, earn money fast from home"
8705,ham email,Please find attached the project report
8706,spam email,"Limited offer, earn money fast from home"
8707,spam email,"Congratulations, you won a lottery"
8708,ham email,Invitation to team meeting
8709,spam email,"Limited offer, earn money fast from home"
8710,ham email,Lunch plan for today?
8711,ham email,"Happy birthday, have a great day"
8712,spam email,"Limited offer, earn money fast from home"
8713,spam email,Act now to secure your reward
8714,spam email,"Limited offer, earn money fast from home"
8715,spam email,"Your account has been compromised, verify now"
8716,ham email,Project update: tasks completed
8717,spam email,"Your account has been compromised, verify now"
8718,spam email,"Your account has been compromised, verify now"
8719,spam email,"Exclusive deal just for you, click now"
8720,spam email,"Congratulations, you won a lottery"
8721,ham email,Please find attached the project report
8722,ham email,Reminder to submit your timesheet
8723,ham email,Lunch plan for today?
8724,ham email,Weekly report submission
8725,ham email,Please find attached the project report
8726,ham email,Invitation to team meeting
8727,spam email,Act now to secure your reward
8728,ham email,Please find attached the project report
8729,spam email,Urgent: update your bank details immediately
8730,ham email,Let's catch up this weekend
8731,spam email,You have been selected for a prize reward
8732,spam email,Urgent: update your bank details immediately
8733,spam email,"Your account has been compromised, verify now"
8734,ham email,Meeting scheduled for tomorrow at 10 AM
8735,ham email,Weekly report submission
8736,spam email,Claim your free gift card today
8737,spam email,"Congratulations, you won a lottery"
8738,ham email,Lunch plan for today?
8739,spam email,You have been selected for a prize reward
8740,spam email,"Exclusive deal just for you, click now"
8741,ham email,Can we reschedule our call?
8742,spam email,You have been selected for a prize reward
8743,spam email,Claim your free gift card today
8744,ham email,Can we reschedule our call?
8745,ham email,Can we reschedule our call?
8746,spam email,Urgent: update your bank details immediately
8747,ham email,Project update: tasks completed
8748,ham email,Let's catch up this weekend
8749,spam email,"Your account has been compromised, verify now"
8750,spam email,Get rich quick with this simple trick
8751,spam email,Act now to secure your reward
8752,ham email,Project update: tasks completed
8753,ham email,Project update: tasks completed
8754,spam email,Claim your free gift card today
8755,ham email,Please find attached the project report
8756,ham email,Invitation to team meeting
8757,spam email,"Limited offer, earn money fast from home"
8758,spam email,"Exclusive deal just for you, click now"
8759,ham email,Please find attached the project report
8760,ham email,Project update: tasks completed
8761,spam email,Claim your free gift card today
8762,ham email,Let's catch up this weekend
8763,spam email,"Exclusive deal just for you, click now"
8764,ham email,Let's catch up this weekend
8765,ham email,Reminder to submit your timesheet
8766,spam email,Get rich quick with this simple trick
8767,spam email,Act now to secure your reward
8768,ham email,Can we reschedule our call?
8769,spam email,"Your account has been compromised, verify now"
8770,ham email,Lunch plan for today?
8771,spam email,"Exclusive deal just for you, click now"
8772,ham email,Please find attached the project report
8773,ham email,Invitation to team meeting
8774,spam email,"Win a free iPhone now, click here"
8775,ham email,Invitation to team meeting
8776,ham email,Weekly report submission
8777,ham email,Invitation to team meeting
8778,ham email,"Happy birthday, have a great day"
8779,spam email,"Your account has been compromised, verify now"
8780,ham email,Weekly report submission
8781,ham email,Can we reschedule our call?
8782,ham email,Can we reschedule our call?
8783,ham email,Can we reschedule our call?
8784,ham email,Weekly report submission
8785,ham email,Reminder to submit your timesheet
8786,ham email,Weekly report submission
8787,ham email,Lunch plan for today?
8788,spam email,Urgent: update your bank details immediately
8789,spam email,Act now to secure your reward
8790,spam email,You have been selected for a prize reward
8791,spam email,"Win a free iPhone now, click here"
8792,spam email,"Win a free iPhone now, click here"
8793,ham email,Let's catch up this weekend
8794,spam email,"Congratulations, you won a lottery"
8795,ham email,Lunch plan for today?
8796,ham email,"Happy birthday, have a great day"
8797,spam email,Urgent: update your bank details immediately
8798,ham email,Let's catch up this weekend
8799,ham email,Reminder to submit your timesheet
8800,ham email,Lunch plan for today?
8801,ham email,"Happy birthday, have a great day"
8802,ham email,Invitation to team meeting
8803,ham email,Let's catch up this weekend
8804,ham email,Can we reschedule our call?
8805,spam email,"Your account has been compromised, verify now"
8806,ham email,Meeting scheduled for tomorrow at 10 AM
8807,spam email,"Your account has been compromised, verify now"
8808,spam email,Urgent: update your bank details immediately
8809,spam email,Get rich quick with this simple trick
8810,spam email,You have been selected for a prize reward
8811,ham email,Lunch plan for today?
8812,spam email,"Win a free iPhone now, click here"
8813,ham email,Project update: tasks completed
8814,ham email,Meeting scheduled for tomorrow at 10 AM
8815,ham email,Invitation to team meeting
8816,spam email,Urgent: update your bank details immediately
8817,spam email,"Congratulations, you won a lottery"
8818,ham email,Please find attached the project report
8819,spam email,Urgent: update your bank details immediately
8820,ham email,Can we reschedule our call?
8821,spam email,Get rich quick with this simple trick
8822,spam email,Urgent: update your bank details immediately
8823,spam email,"Congratulations, you won a lottery"
8824,ham email,Weekly report submission
8825,ham email,Let's catch up this weekend
8826,ham email,Please find attached the project report
8827,ham email,Project update: tasks completed
8828,ham email,Meeting scheduled for tomorrow at 10 AM
8829,spam email,"Limited offer, earn money fast from home"
8830,spam email,"Limited offer, earn money fast from home"
8831,ham email,"Happy birthday, have a great day"
8832,spam email,Get rich quick with this simple trick
8833,ham email,Project update: tasks completed
8834,ham email,Weekly report submission
8835,ham email,"Happy birthday, have a great day"
8836,ham email,Weekly report submission
8837,spam email,Act now to secure your reward
8838,ham email,Weekly report submission
8839,spam email,"Exclusive deal just for you, click now"
8840,spam email,"Win a free iPhone now, click here"
8841,ham email,Lunch plan for today?
8842,spam email,Act now to secure your reward
8843,spam email,Act now to secure your reward
8844,ham email,Weekly report submission
8845,spam email,Claim your free gift card today
8846,ham email,Invitation to team meeting
8847,ham email,Please find attached the project report
8848,ham email,Reminder to submit your timesheet
8849,ham email,"Happy birthday, have a great day"
8850,ham email,Lunch plan for today?
8851,spam email,"Your account has been compromised, verify now"
8852,ham email,Weekly report submission
8853,ham email,Project update: tasks completed
8854,spam email,"Congratulations, you won a lottery"
